TweetID,Expert,Amateur_0,Amateur_1,Amateur_2
565586175864610817,neither,neither,neither,neither
597576902212063232,neither,neither,neither,neither
563881580209246209,neither,neither,neither,neither
595380689534656512,neither,neither,sexism,neither
563757610327748608,neither,neither,neither,neither
563082741370339330,neither,neither,racism,neither
596962098845851648,neither,neither,neither,neither
563874350038675457,neither,neither,neither,neither
597240424873394176,neither,neither,neither,neither
571030421103910912,racism,sexism,sexism,sexism
595306172833353728,neither,neither,neither,neither
562706485126643713,neither,neither,neither,neither
564678824953008128,neither,neither,neither,neither
571035328384884736,neither,neither,neither,neither
603286576131506177,both,racism,link,link
595375793301131265,neither,neither,neither,neither
598769509248335873,neither,neither,neither,neither
572068636338364417,sexism,sexism,sexism,sexism
572346645897064448,neither,neither,neither,neither
575080651709247489,neither,neither,neither,neither
571033583285985281,neither,neither,neither,neither
571387182293725184,neither,neither,neither,neither
573222765957816320,neither,neither,neither,neither
603664815454875648,neither,neither,neither,sexism
568820924855615489,neither,neither,sexism,neither
575501717103644672,sexism,sexism,sexism,racism
563377797763047425,neither,neither,neither,neither
597148153188519936,neither,neither,neither,neither
568848293486133248,neither,neither,neither,neither
603663272831778817,neither,neither,neither,neither
572854416031629313,neither,neither,neither,neither
564317491350863872,neither,neither,neither,neither
570095648952819713,neither,neither,neither,neither
575393332328722432,sexism,sexism,sexism,sexism
565029767708033024,neither,neither,neither,sexism
562943065523240961,neither,neither,neither,neither
570997249846571008,neither,neither,neither,neither
603676994925133826,neither,sexism,neither,neither
598512784377122816,neither,neither,neither,racism
603688066105081856,neither,neither,neither,neither
603649396484407296,neither,neither,link,neither
598336838680477697,neither,neither,neither,neither
602678737566453760,neither,neither,neither,neither
562787963785191425,neither,neither,neither,neither
569957017655226369,neither,neither,neither,neither
570994931231117315,neither,neither,neither,sexism
569150960783769601,racism,racism,neither,neither
575742743730745344,sexism,sexism,sexism,neither
563851316665925632,neither,neither,neither,neither
563501697398370304,neither,neither,neither,neither
569201849229664256,neither,neither,neither,neither
569177003644964864,neither,neither,neither,neither
563093253378289665,neither,neither,neither,neither
570993190724964352,neither,neither,neither,neither
575417042150387712,sexism,neither,neither,sexism
596355644883501056,neither,neither,neither,neither
565593365245612032,neither,sexism,neither,neither
597344466152792065,neither,neither,neither,neither
569744463670566913,neither,neither,neither,neither
594917674448072704,neither,sexism,sexism,sexism
564674500390682624,neither,neither,neither,neither
595102568667217920,neither,neither,neither,racism
568436195966889984,neither,neither,neither,neither
565363377309241344,neither,neither,neither,neither
595115846613139456,neither,neither,neither,neither
564904052652113920,neither,sexism,sexism,sexism
573954693690355712,neither,neither,neither,neither
570731787091107840,sexism,sexism,neither,sexism
596964493449560064,neither,neither,neither,neither
603682460191203328,sexism,sexism,sexism,sexism
598194795421376512,neither,neither,neither,neither
563768704115023872,neither,neither,neither,neither
572343670034178051,neither,neither,neither,neither
571000078405537794,neither,neither,neither,neither
568456509421518848,neither,neither,neither,neither
572270547502907392,neither,sexism,sexism,sexism
570732311840473089,neither,neither,sexism,racism
572102836856750081,sexism,sexism,sexism,sexism
576433212156563456,sexism,sexism,sexism,sexism
571717540713381888,neither,neither,neither,neither
575155695080730624,neither,neither,neither,neither
571741933233565696,neither,neither,neither,neither
595328640088285184,neither,neither,neither,racism
572347254335385600,neither,neither,neither,neither
574417568229761025,neither,neither,neither,neither
564678219333246976,neither,neither,neither,neither
603681832173961216,neither,sexism,neither,sexism
596592358772191232,neither,neither,neither,neither
563826405784305666,neither,neither,neither,neither
599724801322659840,neither,neither,neither,neither
571740177137184768,neither,neither,neither,neither
603665369119592448,neither,neither,sexism,sexism
569612886722486272,neither,neither,neither,neither
575347321140969472,neither,neither,neither,neither
571354609622495232,neither,neither,sexism,neither
570994652993556481,sexism,neither,neither,neither
563093321418309633,neither,neither,neither,neither
602445487753535488,neither,racism,neither,racism
563309529614409730,neither,neither,neither,neither
603687162077433856,neither,neither,neither,racism
566069269084262401,neither,neither,neither,neither
571733391919337472,neither,neither,neither,neither
597872004235010048,neither,neither,neither,neither
576532163526406144,neither,neither,sexism,sexism
576554873468035072,sexism,sexism,sexism,sexism
562767924205998081,neither,sexism,neither,neither
576104877144723456,neither,racism,neither,neither
576572940474515456,neither,neither,neither,neither
603569556469190656,sexism,sexism,sexism,sexism
562736780487974914,neither,neither,neither,neither
575695464613310464,neither,sexism,sexism,sexism
572973809969442817,neither,neither,neither,neither
570814936219127809,neither,neither,neither,neither
575710263879430144,both,sexism,sexism,both
565028387232546816,neither,neither,neither,neither
603695258870947840,sexism,sexism,sexism,sexism
571004298860998657,neither,sexism,sexism,neither
562855493992218625,neither,neither,neither,neither
572328799284551680,sexism,neither,neither,neither
603661823095615488,neither,neither,neither,neither
598042005013340160,sexism,neither,neither,sexism
562704332098113537,neither,neither,sexism,neither
571451196377927680,neither,neither,neither,neither
575646184758337537,sexism,sexism,sexism,sexism
572343481219207168,neither,neither,neither,neither
564322083459432448,neither,neither,neither,neither
576094311856484352,neither,neither,racism,neither
618367060117098498,sexism,sexism,sexism,sexism
603553480754778112,neither,sexism,sexism,sexism
564907851886247936,neither,neither,neither,neither
572336241871478786,sexism,sexism,sexism,neither
569916467124137985,neither,neither,neither,neither
565320643731025920,neither,neither,neither,neither
564317908243726336,neither,neither,neither,neither
572340379736911872,neither,neither,neither,racism
565320815114473472,neither,neither,neither,neither
573587423520653312,neither,neither,neither,neither
576035486956789760,neither,neither,neither,neither
595397515849043968,neither,neither,neither,neither
575732869215158273,neither,sexism,sexism,sexism
596731670281097218,sexism,neither,neither,neither
573205121435369472,sexism,sexism,neither,racism
568678698615836672,neither,neither,neither,neither
597564077875941376,neither,neither,neither,neither
575156376458039296,neither,neither,neither,neither
571896483047477248,sexism,neither,sexism,sexism
568140460322996224,neither,neither,neither,neither
565755824858226688,neither,neither,neither,neither
597552063615238144,neither,neither,racism,neither
571541585407565824,sexism,sexism,sexism,sexism
575860144355041280,sexism,sexism,sexism,sexism
573277464601894913,neither,neither,neither,neither
569181952424562688,neither,neither,neither,neither
566432510591377409,neither,neither,neither,neither
598668549234642945,neither,neither,neither,neither
572127937580949505,neither,sexism,sexism,sexism
566779836044419072,neither,neither,neither,neither
571899941817331713,neither,sexism,sexism,sexism
576189889550684160,sexism,sexism,sexism,sexism
572335501765574656,neither,neither,neither,both
596106196253184000,neither,neither,neither,neither
574888402077667329,neither,neither,neither,neither
572261148323676160,sexism,sexism,sexism,sexism
576512492643491841,neither,neither,neither,neither
597142165316247552,neither,neither,neither,neither
572318519464865792,sexism,neither,neither,sexism
572337351214559232,neither,neither,neither,both
603660142522032130,both,both,both,both
569632316454084608,neither,neither,neither,neither
569015083721818113,neither,neither,neither,neither
570738449122136065,sexism,sexism,sexism,sexism
575616147166466048,sexism,sexism,sexism,sexism
572279223525621760,neither,neither,neither,neither
566467902870925312,neither,neither,neither,neither
597366877258588161,neither,neither,neither,neither
564898715840700417,neither,neither,neither,neither
570992871211274242,neither,neither,neither,neither
565327930335952896,neither,neither,neither,neither
563461334814052352,neither,neither,neither,neither
576162183362560000,sexism,sexism,neither,sexism
569625666582216704,neither,neither,neither,neither
572346694127394817,neither,neither,racism,neither
568673584064782337,neither,neither,neither,neither
